UniProtAccFull	UniProtAcc	UniProtName	Gene	EntrezGene	R_01	R_02	R_03	R_04	R_05	R_06	R_07	R_08	R_09	S_01	S_02	S_03	S_04	S_05	S_06	S_07	S_08	S_09
A1A5Q0	A1A5Q0	LMOD2_RAT	Lmod2	296935	0.124858037188509	0.286675062198961	0.0527339928430765	-0.351033924518942	0.383758274290899	-0.00236175971861996	0.313899117464497	0.211087690851603	-0.0357455375630447	-0.53417094080123	0.0371953268534371	-0.160769530974392	-0.019216163123375	-0.0474511011076093	-0.057637130797181	-0.0910262460599265	0.0281626538979836	0.096087153552149
A1A5S1	A1A5S1	PRP6_RAT	Prpf6	366276	0.113644458877985	-0.0723612944456612	-0.0154177052235674	0.134501588957444	0.0311372119791328	-0.1026865331754	0.103346836255037	0.005734728401804	0.00180548470890794	-0.163755447870122	0.0778426602417888	-0.169562124595208	-0.161796779796871	-0.0732818859706281	-0.195384299920245	0.0644201015574075	0.00654831198819172	-0.0481626621493672
A1IGU3	A1IGU3	ARH37_RAT	Arhgef37	307398	0.169345229884421	0.0608621764564374	-0.0045179169155245	0.0184367819144928	-0.0115512097964615	-0.14696538360456	-0.175925464420895	0.196360950106126	0.00639060326338123	0.041490515839209	0.128803461225127	0.0566306422995383	0.0991167097877708	0.080468737721953	-0.104150574738764	-0.250418717483138	-0.0394122180534383	0.280846703916338
A1L108	A1L108	ARP5L_RAT	Arpc5l	296710	0.0813891054898851	-0.0347318690529586	0.151963928994687	-0.136601709985921	-0.0495800615084978	-0.215055131274676	-0.0351409991039284	-0.139317930205354	-0.0199134254647586	0.108100570092413	-0.0180394875077853	0.0231602616511917	0.123987652768362	-0.147422892107805	-0.157763566417175	-0.134320590604941	-0.141345777074138	0.0362418146292376
A1L134	A1L134	AUP1_RAT	Aup1	680423	0.0605337459926854	0.0111179088103008	0.10901157823207	0.0686109949647009	0.088953844989319	0.194324829069926	0.00460880875685876	0.25954088139642	-0.189168740514434	-0.181270838987837	-0.0107896522751058	-0.0436911436159386	0.0461827917572659	-0.468388340185291	-0.442760389196825	0.196296384953002	-0.480381901914068	-0.140304121173685
A1L1J9	A1L1J9	LMF2_RAT	Lmf2	315218	-0.182077560058764	-0.237343788089668	0.0565368610918777	0.0710196115662577	0.252989956639537	0.102628251043193	-0.112084039877852	-0.185075143642851	-0.0361298759773774	-0.151461885609961	-0.11843947965563	0.244865082299051	0.06074330912933	0.0718694118670568	-0.190743382676655	0.0296148133967722	0.163170201582288	-0.119396040237467
A2RRU1	A2RRU1	GYS1_RAT	Gys1	690987	0.0359739355735041	0.229853018591973	0.0890281948894966	-0.0228930306280534	0.184625937537468	0.0198694274158784	0.0447024678456923	0.0497571357892398	0.0467429681516796	0.154780069834667	0.147172000398505	0.115859783322044	0.104502859274495	0.0371384704343194	0.0877749543688916	0.0111715236668741	-0.108272756127718	-0.0282937103557032
A2RUV9	A2RUV9	AEBP1_RAT	Aebp1	305494	-0.194217724523043	0.084746800827554	0.0241858546726698	0.0614783002143005	-0.00361001216681578	-0.354248097938623	1.07344048247238	-0.19882250365963	0.240124000248263	1.03167066252473	0.00866751516422448	0.0971052204595289	-0.0242238526420572	-0.0521909005275867	-0.114002063758601	-0.518687441571562	-0.215135484721804	-0.0121188832233144
A2RUW1	A2RUW1	TOLIP_RAT	Tollip	361677	0.0321075286931737	0.122118513329159	0.130426353299168	0.0298234833762134	-0.00128481119579898	-0.0996577795172302	-0.139891109080618	-0.0600089191880005	-0.0350612638610909	0.150566298980979	0.165695141869618	-0.0114486975925915	0.0154957751178292	0.241536616638301	0.0770397999050831	-0.0380025008016008	0.276302684833035	0.0734988525961646
A2VCX1	A2VCX1	TIPRL_RAT	Tiprl	360869	0.0359947904288029	0.0246326607438989	0.0838521397489425	0.0292609818611032	-0.0300781821928425	-0.0138764437509451	-0.0483879766500089	-0.0649239761183526	-0.00804871939281675	0.0626669881391789	0.147530482185937	-0.0366243220562764	0.103953803884109	-0.126465957584393	0.0236723336008461	-0.0662342722588493	-0.0734707749748907	-0.0662653540371628
A2VD12	A2VD12	PBIP1_RAT	Pbxip1	310644	0.0779344846652672	-0.133837286651959	-0.0625095073273757	0.082042485047147	0.0100696409244496	-0.0593286773429522	-0.0902861115264453	0.0148618584535581	-0.0303013807982118	-0.414028159060511	-0.0733871433298203	-0.0197823871187137	-0.0488070206220615	0.15149478229878	-0.156746403975944	-0.126322130217248	0.100735082543667	0.00027087684556476
A6ZIQ8	A6ZIQ8	TM38A_RAT	Tmem38a	306327	0.0510136224606331	-0.0293279203742845	-0.00170465035508655	0.0106131368454064	-0.0963887589844485	0.0493227190829885	0.112062117595162	0.271438586157147	0.0901520142864909	-0.703529169883308	-0.0857960604905179	0.0309759032219987	0.11022693600198	0.403786430011102	-0.168466957834099	0.0222721993725649	0.364676853041861	0.00831762132164032
A7VJC2	A7VJC2	ROA2_RAT	Hnrnpa2b1	362361	-0.0153722239848119	0.0646779280268634	0.106810050420478	-0.0214327795501425	-0.0449801795396383	-0.0666555298272701	0.129683539710933	0.0828635374797898	0.0279880829782057	0.243502750000202	-0.0248926107484586	0.0340968514360932	0.0675428183156435	0.0150042544112886	-0.0264247326882787	0.0672698307593036	-0.131769715349033	0.130773078501252
A8IHN8	A8IHN8	CK096_RAT	Ag2	499839						-0.11855161736761	0.120224491619695	-0.333192849830007	-0.123186642488027					-0.0606136934816343	-0.00732663744235956	-0.266633836535869	-0.0699353594722053	-0.222413479045947
A8WCF8	A8WCF8	TPRGL_RAT	Tprg1l	687090	0.114609860614365	0.000422002443355884	0.0129765057484509	0.235833826622713	0.0301362671844911	-0.0534662821527467	-0.017598251229366	0.0772647578775461	-0.102538205383717	0.108857793064635	0.0527452613987437	0.0767463801963718	-0.118044989664888	0.0981979899862946	0.0522465438368546	-0.108872106332402	0.112103590986194	0.216816261929939
B0BN18	B0BN18	PFD2_RAT	Pfdn2	685607	-0.0285411076230113	0.00587049964556327	0.0300192808239546	-0.0872952896983994	-0.0904539310555654	-0.133676127065563	-0.221109963743381	-0.100140544634724	-0.143813122120803	0.165406232429528	0.0571652771952721	-0.0940231000614502	-0.0881825933229438	-0.135323150466156	-0.242608314136793	-0.0562121976361529	-0.169789670023661	-0.0780626949350319
B0BN56	B0BN56	RT31_RAT	Mrps31	290850	0.0801339818233744	-0.155440931148088	-0.219534754694392	0.147187041122974	0.129057535803748	0.200877074898888	-0.0976288739084565	0.123968515878579	-0.00122606580505062	-0.367998720671966	-0.0943605517232293	-0.118574540634435	0.123761386771159	-0.0540285805675402	0.177052261487403	0.341231100367817	-0.0603776756975754	0.207205999758635
B0BN72	B0BN72	MCRI1_RAT	Mcrip1	360677	0.0640336805111372	0.0649402816758665	0.179481320299645	0.169515731649191	-0.201022285196956		-0.237202909324651	-0.520578803136816	0.283927064347992	0.374690509997224	-0.95763294907042	-0.265611832869343	-0.64879680164435	0.353011175294664	0.0749198374797424	0.183829986151386	0.477985315521053	-0.063687716344755
B0BN85	B0BN85	SGT1_RAT	Sugt1	290408	-0.251773264594728	0.0562618817948623	0.0469946365141516	-0.0830559793163859	-0.0591997472268053	0.0734092451308843	-0.158276515862649	-0.00706109669691823	0.0334307188522765	0.049567889726561	0.075176528670525	0.141958001049906	0.128468369480816	-0.0709229786968781	0.0525034704390622	0.0762673833051346	0.144735357071696	0.0354400830051356
B0BN86	B0BN86	TMM11_RAT	Tmem11	303196	0.207784891391551	0.27619135325391	0.0530930027703111	0.172839639473346	0.199932366515265	0.183670042582377	0.0515457521360594	0.257721763780187	0.00124785938243463	-0.544003314626814	-0.42860337039424	-0.0218111705800998	0.0832121138396278	0.320630135008547	0.0676396262767003	0.167963292844965	0.0875278161936291	0.109263408097811
B0BN93	B0BN93	PSD13_RAT	Psmd13	365388	-0.210256940841519	0.0511293954438635	0.0535725920509695	0.0854456670954584	0.0593251288888227	0.141400087846598	0.0210910412742397	0.120462946367075	0.0671408568176166	0.116104774179214	-0.0772547017136034	0.0142593401417896	0.021166667392531	0.0913157500708832	0.0765049646790792	0.0517918604434536	0.0786947027398571	0.0673044973522821
B0BN94	B0BN94	F136A_RAT	Fam136a	297415	0.169963438864345	0.115832159412224	0.0224550907429238	0.138299712402356	0.137520938110547	0.128840487206046	0.00634758781361067	0.00238939728516085	0.134929006868576	-0.0946062861335932	-0.0202903310628685	-0.0865072150723949	-0.102798469586197	0.0179485828017558	0.0755698695270338	0.0635553385261769	-0.0589197608928453	0.0299235653081243
B0BNA5	B0BNA5	COTL1_RAT	Cotl1	361422	-0.0757890229634065	0.109986077780929	-0.230168249027025	-0.193526223187515	-0.487792515118219	-0.230722196766167	-0.203921845856397	-0.59278775965109	-0.562545633040323	0.650598927205642	-0.147752516869976	0.579670523002447	-0.356611243665454	-0.495630878343305	-0.185524310142683	-0.522734790364758	0.061094973820256	-0.349120331280538
B0BNA7	B0BNA7	EIF3I_RAT	Eif3i	682390	-0.0413521682375715	0.0016619723682274	0.0145295477761432	-0.123559133085602	-0.0426198582275305	0.0231920270843029	-0.0174807231268816	0.1109197995388	0.0942568329477931	0.115862064631988	0.0467229096950413	0.0407907698756822	0.0315882179971748	-0.104886121025952	0.0641885420076398	0.0302363808466416	0.157419666212184	0.0460185935221811
B0BNA9	B0BNA9	CNO11_RAT	Cnot11	363221	0.185796105198964	-0.368532349185145	-0.571927280430797	-0.314341511743772	-0.583938066696626	-0.358900702599652	0.343732766719829	-0.549869848137083	0.119869732118599	-0.504061681308114	-0.185996137234877	-0.281939782590985	-0.10503324095402	0.524856622948173	-0.207178758262711	-0.330155297106311	0.211098003317467	-0.341679814645429
B0BNC9	B0BNC9	QORL2_RAT		289138	-0.147408513779496	-0.232002002689883	-0.129501022486891	0.01877043177071	-0.0400078281960727	0.148350665090288	-0.111026740589384	-0.0958592978907462	-0.132307511061563	-0.22898048269399	-0.0568347094178602	0.0914062633603138	0.0423380524098872	0.171242951734173	-0.164042276967995	0.169669772693376	-0.355341971080936	-0.173732277484866
B0BNE2	B0BNE2	RPAB1_RAT	Polr2e	690966	-0.166699091201841	-0.10816290726223	-0.075959861193578	0.118444290966662	-0.0908740505957469	-0.231586241987258	-0.0424803596587945	-0.0466585311807718	-0.16354512920852	0.057932547069086	0.131043232318311	-0.0228961968297727	-0.0284158649946297	-0.184471190934222	-0.0350551993991248	-0.111600742240142	-0.223997827099439	0.0716818575927343
B0BNE5	B0BNE5	ESTD_RAT	Esd	290401	-0.170250073315899	0.0806381490352803	0.0205262428524965	0.0502809117001553	0.00646371246081351	0.0550876895470223	0.105657992847518	0.118711698703133	0.464681496030999	0.148590414352369	-0.175266616310927	-0.0013351439123328	0.0666124734360715	0.252178079972166	0.0373506611372592	0.0446616293393836	0.196723721918711	0.185161898258015
B0BNF1	B0BNF1	SEPT8_RAT	Sept8		-0.104621221570432	0.0305296562728077	0.0642641019909571	-0.0194236502408589	-0.0650284040875425	-0.237373924080342	0.230857369133279	-0.136090733235882	0.048093521982311	0.503844925133913	0.0682626406579853	0.0998996202847641	-0.0253807217608976	0.0452775978263636	0.0961161419282786	-0.0105114089599737	0.0974138766774002	-0.0962305343938986
B0BNG0	B0BNG0	EMC2_RAT	Emc2	362905	-0.0363723930433696	0.0276451230403258	0.0571082271447816	0.266269777949315	-0.0137096505028617	-0.0415012809333213	-0.0305740094936886	-0.147168631729777	0.0628145856059262	0.383353036808119	-0.0996298858427622	0.124886029488956	-0.0752666807010512	0.215097921229081	-0.0424543957168269	-0.054153220407498	0.0378449689731505	-0.0648838448407318
B0BNI5	B0BNI5	OLFL3_RAT	Olfml3		-0.270362407959957	0.0871780552184573	-0.363579631861534	0.0951343713466989	-0.457559761492352	-0.808819115840046	0.78260255024623	-0.560058032281731	-0.137465124684836	1.41681129992391	-0.243447149250184	-0.362887054499449	-0.631873325049098	-0.0778222741610726	-0.268464068970391	-0.447830115491505	-0.274307587797885	-0.0309152440933417
B0BNM1	B0BNM1	NNRE_RAT	Naxe	295229	-0.150249035440858	-0.0321110972311922	-0.0453881689586604	-0.104066281013065	-0.0615358867052977	-0.0908626030219635	-0.23693299870106	0.024992547066529	0.0233019793196066	-0.326279264698083	0.101408382117945	0.0693315541352147	0.0820911542639631	-0.154651294685053	-0.0443853876293329	0.0731700255734609	-0.0900695351675077	-0.0256244382345996
B0BNN3	B0BNN3	CAH1_RAT	Ca1	310218	1.79657330688877	-0.949347563983862	-1.52919179879802	-1.37309389190835	-1.79547060550565	-1.593291837239	-1.51048124057528	-1.75728538593123	-1.67448496890898	2.01478388230273	2.17533354097303	-0.59290743148784	-1.27017829602342	-1.66854112876815	0.457630723561933	-1.47494579523819	-1.44535838611707	-0.64790591845475
B0K019	B0K019	BAG1_RAT	Bag1	297994	-0.166776035775883	0.0169030076922983	-0.0199124830817603	-0.0960536338411921	-0.13830242488841	-0.0281739944328058	-0.011155384468244	0.0625587839738718	0.131654630268642	0.143649821888089	0.0193023635262829	-0.0353714499941282	0.00472479096024669	-0.0134762573182659	-0.0207322204588714	0.12388467036979	8.19355818089118e-05	0.217914413224855
B0K020	B0K020	CISD1_RAT	Cisd1	294362	0.0325648081509773	-0.199121511250349	-0.0411538896335546	0.160732147459222	0.297236371227137	0.215593579356198	-0.0792656525634267	0.0499310956340959	0.00540326733503554	-0.774904020619549	-0.141280809926217	-0.106034001477325	0.12661347074792	0.500579041977842	0.0815676112301119	0.0736224640750716	0.123585321466861	0.0185913492557236
B0K025	B0K025	OSTC_RAT	Ostc	362040	0.147889368564349	0.138024313602838	-0.0513522860939205	0.0142656379012113	0.100875315298374					-0.274224203248047	0.0367209398127496	-0.0597568179625884	0.161451407539884					
B0K036	B0K036	SDHF1_RAT	Sdhaf1	499125	0.414352810776681	0.053844225830531	-0.151872998402033	0.000735681124890808	0.151728326498728	0.349553685498525	0.126736807558984	0.139420473429219	0.126698721128106	0.0480875188565802	0.224581387112429	-0.353965039551357	-0.063700155486104	0.622582781188235	0.17383560443172	-0.0275112791711332	0.270386409196199	0.185829842050937
B0LT89	B0LT89	STK24_RAT	Stk24	361092	0.262413379961247	0.13592633119053	0.0460402540138604	0.162235895017386	0.0473678804427982	-0.0573115725111598	0.457064657479315	0.316270120300736	-0.214487400033579	0.348876010744811	0.229435112993346	0.0762575252271158	0.119855306183226	-0.173231919410929	-0.161373292816571	0.158447200340493	-0.0588646560915057	-0.243125441119723
B1H267	B1H267	SNX5_RAT	Snx5	296199	-0.0292450176589659	-0.0247209994500933	-0.033542101728668	0.100060298563295	-0.113408940233062	-0.150975778091275	-0.0244906889232475	-0.10594457643474	-0.133064118783999	0.220723733975687	0.00820192302741862	0.116292827403254	0.00484687795851857	-0.165776527690084	-0.155885930561029	-0.134106348953161	-0.0910086573665472	-0.127256485032635
B1PRL5	B1PRL5	CAVN4_RAT	Cavin4	313225	0.0469925254185904	0.133978599140498	0.175442873942189	0.0865675455300618	0.145735372381673	0.0496347264371362	-0.114204342603639	0.0847636495469752	0.153842230887163	-0.0176674359713208	-0.07728551219195	0.0445646548288947	0.057846542655532	0.034810123147046	0.0934447169254833	0.160954202126579	-0.00486114466749388	0.121386764919821
B1WBU5	B1WBU5	SBK2_RAT	Sbk2	691411	0.0800710517797266	0.0204558227621418	-0.0462562316801125	-0.223136645755506	0.175487757409018	0.110021389866649	0.201269551058402	0.294888156940785	0.0787176202353565	-0.338597851169904	0.000697846222808995	-0.0863933721204448	0.0536776086736677	0.0388073877198882	0.230537654969047	0.146151001039918	0.190514567430972	0.104128076585665
B1WBW4	B1WBW4	ARM10_RAT	Armc10	296758	0.246377577227491	-0.0839495151836151	-0.208944313922038	0.0077219580458967	0.0607090877316253	0.104217407263377	0.0356367462396108	-0.00261133939595459	0.0312479559270732	-0.237779034593434	0.197822463156902	-0.0992234163005954	0.159195823316198	0.360445403407594	0.0305801783653238	0.0633507382274902	0.27957688053977	-0.0219221850043413
B1WC40	B1WC40	NCBP2_RAT	Ncbp2	689116	-0.11905957825455	-0.0841388322955076	-0.027628639547422	-0.0421992951996136	-0.222247009489024	-0.257958774873172	-0.0674332333026001	-0.237943019602133	-0.325823906822373	0.278384391794335	0.0357206235591057	0.0922604844613847	0.0307092216717093	-0.220115597001661	-0.321383603635378	-0.380296048649896	-0.220471546036281	-0.225395830632884
B1WC88	B1WC88	CR032_RAT		498886	0.0896980532443379	0.0365765661619578	-0.16480431880341	0.0578301618975525	-0.00637575052900163	-0.0914353212290137	-0.407368251706386	-0.178778883272825	-0.372368925741737	-0.457261459551308	-0.203421175362749	-0.0704888091321381	0.0205883146037164	0.271050858960203	-0.070117026890939	-0.368619563032618	0.114780662802455	-0.334390284677204
B2GUV7	B2GUV7	IF2P_RAT	Eif5b	308306	0.0196752758320103	0.0646291645909165	-0.0339971712872243	-0.0625796922017171	0.00599653131310574	0.169096664107785	0.141466164030413	0.158309363944496	-0.0113264241364031	-0.0384231930765319	-0.0136733041627212	0.0125900703656653	0.0694687113182677	-0.0706388861763991	-0.0120948291440579	0.119829091243696	-0.121385269012885	0.0530761273863073
B2GUZ1	B2GUZ1	UBP4_RAT	Usp4	290864	0.033740012155229	0.0296529199895529	-0.0295004953699751	-0.0132996764448359	0.0503327497540113	-0.176027043972257	0.020662952132641	-0.0225422662048628	-0.015161897485786	-0.0128649257706458	0.00361420172772198	0.0563114682404213	-0.0282751363451991	-0.0345013322166375	-0.0957033541640399	-0.115129055855618	-0.0974759403541492	-0.0131651168026943
B2GUZ5	B2GUZ5	CAZA1_RAT	Capza1	691149	0.104434250409217	0.167920234996637	0.151911755905388	0.128801097412178	0.0824597529785115	0.123018950780507	-0.0331312818138615	-0.0376090406767189	0.0115794221591366	0.179683835638396	-0.0019367603111673	0.146715455521829	0.122396792456311	0.314726190263036	0.00556219991922441	0.019554628592676	0.301690471686155	-0.00727795801435743
B2GV06	B2GV06	SCOT1_RAT	Oxct1	690163	0.167709947887938	-0.0495377228533266	-0.145263516415653	-0.0557369721912908	0.0800639644724362	0.0613200623803185	0.0625627968476399	0.125437405872385	-0.0485324128552383	-0.664259925742726	0.107085144888344	-0.026443682799805	0.289380142453122	0.320995327901743	0.0838709143848668	0.060059984053964	0.0718855833192134	-0.00232346350491369
B2GV22	B2GV22	PTSS2_RAT	Ptdss2	293620	0.211884766855866	-0.0846133914295088	-0.0396382230360359	0.0330179108905006	-0.135257739014392					-0.459716243903143	-0.092479446164879	-0.137572048671686	0.238438345518236					
B2GV24	B2GV24	UFL1_RAT	Ufl1	313115	-0.202002127194687	-0.125416875850567	-0.10085499204604	-0.144574328581368	0.0179961691585677	-0.0595914226532889	-0.0304436604419919	-0.0307035020367957	0.083874496194465	-0.0797311390804393	-0.0615801531544926	0.00270870028526382	-0.0624028262572863	-0.0547269732208008	0.0130841722502403	0.0127088823390508	-0.0581182877813824	0.0213469727285618
B2GV38	B2GV38	UBL4A_RAT	Ubl4a	293864	-0.299477020833851	-0.0828981688869806	-0.107867030660176	-0.384057006714763	-0.265790911865324	-0.0953847585455062	0.00390932115570042	0.0256182978982812	-0.100081510203497	-0.479587451563004	0.215075239527802	0.141357056299561	0.276664458409801	-0.126595483671406	0.0369935890868763	0.102243507067614	-0.0824289530461429	-0.0300675072753559
B2GV54	B2GV54	NCEH1_RAT	Nceh1	294930	0.302738900457259	-0.160980096316376	-0.151288153987345	-0.106143070452979	0.133991676155069	0.215210013742703	0.144679332542171	0.298555856283077	0.000349447593596647	-0.874662294535541	0.0902577077216197	-0.170359772564914	0.214405336431339	0.175747528052845	0.0880866738041494	0.105022705918252	0.0551961741608301	0.140586488522854
B2GV71	B2GV71	NDUF5_RAT	Ndufaf5	296190						0.0400938983812543	-0.0655958250004881	0.125491213414493	0.0701004747955897					0.167929013975898	-0.0524575720920902	0.0860258743397569	0.188540970862047	0.0368959718213945
B2GV91	B2GV91	LYRM2_RAT	Lyrm2	690354	0.161168320696535	-0.111847158324977	-0.313813249842459	-0.0340879265840343	-0.00841289856982158	0.287005362701106	0.192467865845682	0.120309500438451	0.171029907595187	-0.209492122036773	0.090484411504289	-0.0673971098218124	0.0881311928359623	0.52551739487025	0.0894564507595783	0.263019640199993	0.173011532377153	0.100343883477456
B2RYF7	B2RYF7	WASH1_RAT	Washc1	367328	0.102559615056243	-0.0983391228900476	-0.0984238391010515	-0.0812518540388381	-0.0913865957755176	0.0243102072078124	-0.0250659097905674	-0.0208747675395745	-0.13893223205532	0.0453756554984017	0.0777733008521987	-0.111743721987187	-0.0754675326646354	0.0177112652249546	0.167443497598637	0.129746135410943	0.0493174905743253	0.124943427917835
B2RYG6	B2RYG6	OTUB1_RAT	Otub1	293705	-0.158599686562083	-0.0310392740769554	0.0974346449043882	0.0208700414483931	-0.0748710199765626	0.117780888265872	-0.000149304693710994	-0.0308506136283013	-0.016781907020489	0.104150259974528	-0.00280094761634009	0.0582833274991399	-0.0525742430975912	-0.115283899093812	-0.011078872305216	-0.0748589904824953	-0.0228674928937974	-0.0558611221939392
B2RYG8	B2RYG8	ELP6_RAT	Elp6	363150	0.610898050373225	0.293328921333183	0.384471838508426	0.605421282305013	0.619529722010405	-0.0620704791731017	0.475890274969744	0.251998679339056	0.15391914233731	-0.711900121021026	-1.38260555420854	-0.517372894995657	-1.14991223066706	0.0718283269474111	-0.100683526760633	-0.390925615362084	-0.446869902852229	-0.0490395019180596
B2RYJ4	B2RYJ4	ADPPT_RAT	Aasdhppt	300328	-0.0121189497152833	0.0806275187293648	0.0137602763251374	0.00644676887674547	-0.0641885993673046	0.0489929826813637	-0.06825526855417	0.00421203526002256	0.087272414001987	-0.034142104797369	0.0208570403423678	0.0412024855724727	-0.135114256879925	0.0791282665022416	0.0966382682648162	0.189399142032602	0.0176317691847868	0.0980518937106412
B2RYM5	B2RYM5	BRCC3_RAT	Brcc3	316794	-0.0393372642369605	0.0916512278797133	0.0387630711163051	-0.00564716125463363	0.13661554495981	-0.304109100626638	0.0355687203063554	-0.0958167524853891	0.0462580071261924	0.243536741098609	0.15031873682428	-0.00803953409425817	-0.147387074139986	0.0595252968571941	0.0976837114619755	0.0502724181907814	-0.0577571297414116	-0.0640990155898568
B2RYN7	B2RYN7	SPAST_RAT	Spast	362700	0.0642746483564499	-0.094459784045851	0.0900825421147557	-0.104279021219496	-0.0665397461738058	-1.07148086864164	0.0853765320268935	-0.0201504388273975	-0.0304021875755262	0.0809964948202586	0.059741331735976	-0.0109944905586727	0.137365314883167	-0.155596784312193	0.152755937767035	-0.138516036567111	-1.07580957460857	-0.00138399175528098
B2RYT9	B2RYT9	TACO1_RAT	Taco1	360645	-0.12034943896735	-0.171874559171107	-0.141510360641105	-0.146608326936363	0.0110189308071168	0.125549472754129	0.0248740917997482	0.183782349286933	0.00433121092379642	-0.455983511478367	0.1609673434517	-0.143441971439609	0.23419514112912	0.148991736506316	0.259481509778198	0.187107328028161	-0.0771109973250278	-0.0351119990868053
B2RYU6	B2RYU6	TPC2L_RAT	Trappc2l	292074	0.0693641832910998	0.0422141072320311	0.0334094957413087	-0.0682025845945625	-0.0633097967881091	0.0204835667790151	-0.0911651110146907	0.0742783758508258	-0.0832209372254843	0.158240235272122	-0.0376129450111634	0.0474898659178709	0.00286512365353331	0.121734027602187	-0.114857679605884	-0.00109740184496071	0.206728704334145	0.0100246195924061
B2RYU8	B2RYU8	LYRM1_RAT	Lyrm1		0.0771002274410902	-0.108604887760205	-0.187730492363047	0.0348919040431944	-0.136601917141694	0.348478600950668	0.380226302882667	-0.00813373663932043	-0.0152229793660947	-0.305477919667855	-0.013270630224134	-0.146903391323245	0.163894111733092	0.21705016652197	-0.051004021819088	0.210497779665949	0.150245824757685	0.0204857853174366
